Model,Accuracy_Train,Accuracy_Test,Precision_Train,Precision_Test,Recall_Train,Recall_Test,F1 Score_Train,F1 Score_Test
Logistic Regression,0.9954954954954955,0.8322147651006712,0.9954954954954955,0.8313767266787401,0.9954954954954955,0.8322147651006712,0.9954954954954955,0.8302618517323321
K-Nearest Neighbors,0.8963963963963963,0.825503355704698,0.8980447454460347,0.8320890979003889,0.8963963963963963,0.825503355704698,0.8967706102095745,0.8244148775055097
Random Forest,0.9954954954954955,0.87248322147651,0.9954954954954955,0.8783615938681747,0.9954954954954955,0.87248322147651,0.9954954954954955,0.8724680028610997
Gradient Boosting,0.9954954954954955,0.87248322147651,0.9954954954954955,0.8770819959147943,0.9954954954954955,0.87248322147651,0.9954954954954955,0.8738814317673377
AdaBoost,0.6801801801801802,0.6308724832214765,0.7263939077865164,0.6773873020246693,0.6801801801801802,0.6308724832214765,0.684673519437973,0.6318377304636272
Naive Bayes,0.8828828828828829,0.8187919463087249,0.8853708049675175,0.8176805483852464,0.8828828828828829,0.8187919463087249,0.8817360155472678,0.8161950733282102
Decision Tree,0.9864864864864865,0.7248322147651006,0.9871683717704178,0.7156232588377117,0.9864864864864865,0.7248322147651006,0.9865699536519589,0.7142815354643455
XGBoost,0.9954954954954955,0.87248322147651,0.9956140350877194,0.8775963604530864,0.9954954954954955,0.87248322147651,0.9954946727549466,0.8739603402882407
SVC_linear,0.9954954954954955,0.8791946308724832,0.9954954954954955,0.8784686913881545,0.9954954954954955,0.8791946308724832,0.9954954954954955,0.8783522219763831
SVC_rbf,0.9864864864864865,0.8657718120805369,0.9871992245409966,0.8738281560866913,0.9864864864864865,0.8657718120805369,0.9866011277603312,0.8662809476210875
RandomForest_1,0.9954954954954955,0.8926174496644296,0.9956140350877194,0.8940964751720668,0.9954954954954955,0.8926174496644296,0.9954946727549466,0.8925686643564381
RandomForest_3,0.9932432432432432,0.8523489932885906,0.9932724505327245,0.8551392195106968,0.9932432432432432,0.8523489932885906,0.9932429347577957,0.8527218493661446
RandomForest_5,0.9864864864864865,0.8657718120805369,0.9866017333122596,0.870031611710923,0.9864864864864865,0.8657718120805369,0.986484841005389,0.8664819147321543
NeuralNetwork_1,0.9572072072072072,0.7718120805369127,0.961405410925959,0.7641351936653951,0.9572072072072072,0.7718120805369127,0.9571441382925198,0.7617285315666681
NeuralNetwork_2,0.9166666666666666,0.7449664429530202,0.9265779577634374,0.7602263277415781,0.9166666666666666,0.7449664429530202,0.9168253018258783,0.7436068152602053
NeuralNetwork_3,0.8693693693693694,0.7046979865771812,0.8675064439286363,0.7275442276429248,0.8693693693693694,0.7046979865771812,0.8661585667648354,0.7026001902388387
NeuralNetwork_4,0.9819819819819819,0.8389261744966443,0.9825962325962325,0.8423102872767303,0.9819819819819819,0.8389261744966443,0.9820211739485546,0.8375859541112222
