Model,Accuracy_Train,Accuracy_Test,Precision_Train,Precision_Test,Recall_Train,Recall_Test,F1 Score_Train,F1 Score_Test
Logistic Regression,0.9954954954954955,0.8456375838926175,0.9954954954954955,0.8482810216089549,0.9954954954954955,0.8456375838926175,0.9954954954954955,0.8445931125233557
K-Nearest Neighbors,0.8783783783783784,0.8120805369127517,0.8801610828784743,0.8148248784066515,0.8783783783783784,0.8120805369127517,0.8783206663353983,0.8112999698469019
Random Forest,0.9954954954954955,0.8993288590604027,0.9956140350877194,0.9027191682940151,0.9954954954954955,0.8993288590604027,0.9954946727549467,0.9002648039081405
Gradient Boosting,0.9954954954954955,0.8523489932885906,0.9956140350877194,0.8584268080912376,0.9954954954954955,0.8523489932885906,0.9954946727549467,0.8542632893987715
AdaBoost,0.668918918918919,0.6040268456375839,0.6840263259038688,0.6349603416717511,0.668918918918919,0.6040268456375839,0.6686749732490156,0.6132422761681607
Naive Bayes,0.8716216216216216,0.7651006711409396,0.8743369816662131,0.774142092093534,0.8716216216216216,0.7651006711409396,0.8715942374780921,0.760957279954205
Decision Tree,0.9932432432432432,0.7181208053691275,0.9933918128654972,0.7319726064518937,0.9932432432432432,0.7181208053691275,0.993242317674212,0.7208028524190271
XGBoost,0.9954954954954955,0.9194630872483222,0.9956140350877194,0.923268472765117,0.9954954954954955,0.9194630872483222,0.9954946727549466,0.9195406557286071
SVC_linear,0.9954954954954955,0.87248322147651,0.9954954954954955,0.8707679149219241,0.9954954954954955,0.87248322147651,0.9954954954954955,0.8699622248967124
SVC_rbf,0.9752252252252253,0.87248322147651,0.9755515717592141,0.8753195350510787,0.9752252252252253,0.87248322147651,0.975267783026569,0.8720108248271372
RandomForest_1,0.9954954954954955,0.8859060402684564,0.9954954954954955,0.8854816883340372,0.9954954954954955,0.8859060402684564,0.9954954954954955,0.8854643499553185
RandomForest_3,0.9932432432432432,0.8859060402684564,0.9933033033033033,0.8885439159614823,0.9932432432432432,0.8859060402684564,0.9932582562016886,0.886744966442953
RandomForest_5,0.9774774774774775,0.912751677852349,0.9780453530453531,0.9133852724456751,0.9774774774774775,0.912751677852349,0.9775911455796099,0.9128403972106535
NeuralNetwork_1,0.9572072072072072,0.825503355704698,0.9630240744086768,0.8310189139719341,0.9572072072072072,0.825503355704698,0.9582172764851905,0.8252154143950516
NeuralNetwork_2,0.9391891891891891,0.7315436241610739,0.9490688047289484,0.7196702123837844,0.9391891891891891,0.7315436241610739,0.9400855566813014,0.7221510691815005
NeuralNetwork_3,0.9819819819819819,0.738255033557047,0.982469106703065,0.7393654782165909,0.9819819819819819,0.738255033557047,0.9820073504047138,0.7289850130049205
NeuralNetwork_4,0.9932432432432432,0.8456375838926175,0.9933918128654972,0.8434950631612589,0.9932432432432432,0.8456375838926175,0.993242317674212,0.8439070477584584
