Model,Accuracy_Train,Accuracy_Test,Precision_Train,Precision_Test,Recall_Train,Recall_Test,F1 Score_Train,F1 Score_Test
Logistic Regression,0.8265765765765766,0.8456375838926175,0.8295146139263786,0.8500077047421662,0.8265765765765766,0.8456375838926175,0.8276523353875218,0.846944225274948
K-Nearest Neighbors,0.8873873873873874,0.825503355704698,0.8921665572854642,0.8279842706313294,0.8873873873873874,0.825503355704698,0.8878604497373359,0.8247626280692124
Random Forest,0.9954954954954955,0.8053691275167785,0.9954954954954955,0.8273251768836369,0.9954954954954955,0.8053691275167785,0.9954954954954955,0.8088081565805398
Gradient Boosting,0.9954954954954955,0.7785234899328859,0.9954954954954955,0.7829423938692125,0.9954954954954955,0.7785234899328859,0.9954954954954955,0.7784946302119613
AdaBoost,0.45045045045045046,0.40939597315436244,0.4782531878405665,0.38360599789735206,0.45045045045045046,0.40939597315436244,0.3885816848090671,0.3398559937577086
Naive Bayes,0.786036036036036,0.7583892617449665,0.7931108199918314,0.7706933017700454,0.786036036036036,0.7583892617449665,0.7869120437295541,0.76016367627913
Decision Tree,0.9504504504504504,0.6644295302013423,0.9574026360273253,0.6808901433751006,0.9504504504504504,0.6644295302013423,0.9517497910953473,0.6652351239375349
XGBoost,0.9954954954954955,0.7449664429530202,0.9956140350877194,0.7497202013197283,0.9954954954954955,0.7449664429530202,0.9954946727549466,0.7435112842795264
RandomForest_1,0.9954954954954955,0.785234899328859,0.9956140350877194,0.8023605089129638,0.9954954954954955,0.785234899328859,0.9954946727549467,0.7878388933881472
RandomForest_3,0.9797297297297297,0.7919463087248322,0.9801659776659778,0.8101707557273398,0.9797297297297297,0.7919463087248322,0.9798164586655946,0.7952998044331572
RandomForest_5,0.9369369369369369,0.7583892617449665,0.9390368545366751,0.7835575814128485,0.9369369369369369,0.7583892617449665,0.9367410563668014,0.7625794191564561
NeuralNetwork_1,0.5630630630630631,0.5637583892617449,0.5121527829975163,0.4866928951631566,0.5630630630630631,0.5637583892617449,0.5008458881933384,0.497843042926206
NeuralNetwork_2,0.6103603603603603,0.6308724832214765,0.5974035326712211,0.6370967848096194,0.6103603603603603,0.6308724832214765,0.5837403761651625,0.5955010740225372
NeuralNetwork_3,0.7162162162162162,0.738255033557047,0.7034324416997224,0.7501118568232662,0.7162162162162162,0.738255033557047,0.6881975858582262,0.7207986561680592
NeuralNetwork_4,0.8018018018018018,0.7315436241610739,0.8013088485310708,0.7428557033176061,0.8018018018018018,0.7315436241610739,0.7998069685160404,0.732365030290504
