Model,Accuracy_Train,Accuracy_Test,Precision_Train,Precision_Test,Recall_Train,Recall_Test,F1 Score_Train,F1 Score_Test
Logistic Regression,0.6013513513513513,0.6711409395973155,0.6027259759333403,0.6635801982480991,0.6013513513513513,0.6711409395973155,0.5972887515274218,0.6588335944253394
K-Nearest Neighbors,0.7792792792792793,0.5503355704697986,0.7948644632274985,0.5337732727575595,0.7792792792792793,0.5503355704697986,0.7807286851758691,0.536196217404271
Random Forest,0.9954954954954955,0.6778523489932886,0.9956140350877194,0.6872437706979648,0.9954954954954955,0.6778523489932886,0.9954946727549466,0.6806847649087843
Gradient Boosting,0.9954954954954955,0.6174496644295302,0.9954954954954955,0.6155725987057672,0.9954954954954955,0.6174496644295302,0.9954954954954955,0.6143955722107942
AdaBoost,0.5518018018018018,0.4697986577181208,0.6231613387186142,0.5284372363923646,0.5518018018018018,0.4697986577181208,0.5523644481643825,0.4558835515211354
Naive Bayes,0.6126126126126126,0.6040268456375839,0.6414733454791525,0.5913856929796527,0.6126126126126126,0.6040268456375839,0.6163202338216149,0.5906162143069371
Decision Tree,0.9436936936936937,0.6241610738255033,0.9504712393090726,0.6233199679508404,0.9436936936936937,0.6241610738255033,0.9450945295471428,0.6222565079202009
XGBoost,0.9954954954954955,0.6442953020134228,0.9956140350877194,0.6473866238706243,0.9954954954954955,0.6442953020134228,0.9954946727549466,0.641676845418686
SVC_linear,0.6283783783783784,0.6711409395973155,0.642865706396441,0.6758509722939253,0.6283783783783784,0.6711409395973155,0.6255319472012578,0.6601283394077095
SVC_rbf,0.6486486486486487,0.6510067114093959,0.6767229345088694,0.6542931884794301,0.6486486486486487,0.6510067114093959,0.6483328951370204,0.6408412412265531
RandomForest_1,0.9954954954954955,0.6778523489932886,0.9954954954954955,0.6799272319176178,0.9954954954954955,0.6778523489932886,0.9954954954954955,0.6768509527662748
RandomForest_3,0.9504504504504504,0.6778523489932886,0.952934204189976,0.6807516681677755,0.9504504504504504,0.6778523489932886,0.9506387099490549,0.6786771416255158
RandomForest_5,0.8986486486486487,0.6644295302013423,0.902773760429196,0.675545997343917,0.8986486486486487,0.6644295302013423,0.8981518458226565,0.6688874155973971
NeuralNetwork_1,0.43243243243243246,0.4228187919463087,0.4227238542287445,0.3718222098516012,0.43243243243243246,0.4228187919463087,0.38819268115380906,0.37499417081743924
NeuralNetwork_2,0.4346846846846847,0.5167785234899329,0.527534013194739,0.43633969047478455,0.4346846846846847,0.5167785234899329,0.38184404323187443,0.42851828553383264
NeuralNetwork_3,0.5337837837837838,0.48322147651006714,0.5233495088027185,0.45966683593616775,0.5337837837837838,0.48322147651006714,0.5158124015981802,0.4577759015943591
NeuralNetwork_4,0.44144144144144143,0.5234899328859061,0.46139565645379604,0.5534197245014458,0.44144144144144143,0.5234899328859061,0.4267302924760049,0.503644526240185
