Model,Accuracy_Train,Accuracy_Test,Precision_Train,Precision_Test,Recall_Train,Recall_Test,F1 Score_Train,F1 Score_Test
Logistic Regression,0.6486486486486487,0.697986577181208,0.6260601249930361,0.6607643755715183,0.6486486486486487,0.697986577181208,0.6284177925866835,0.6710664686054749
K-Nearest Neighbors,0.8333333333333334,0.697986577181208,0.834255271982457,0.6829038385373029,0.8333333333333334,0.697986577181208,0.833670011866328,0.6880783922493358
Random Forest,0.9954954954954955,0.7516778523489933,0.9956140350877194,0.754096090337701,0.9954954954954955,0.7516778523489933,0.9954946727549466,0.7526635671313534
Gradient Boosting,0.9954954954954955,0.7449664429530202,0.9956140350877194,0.7678736357502953,0.9954954954954955,0.7449664429530202,0.9954946727549467,0.7514452854572009
AdaBoost,0.4774774774774775,0.4966442953020134,0.5693971880761718,0.5262314968547576,0.4774774774774775,0.4966442953020134,0.41522137250041746,0.4536662143110367
Naive Bayes,0.5472972972972973,0.5302013422818792,0.607326288744774,0.6129977628635346,0.5472972972972973,0.5302013422818792,0.5216988531973211,0.4971882148154935
Decision Tree,0.9436936936936937,0.6912751677852349,0.9441029189606941,0.6888322179393087,0.9436936936936937,0.6912751677852349,0.9436248876324326,0.6889259025043688
XGBoost,0.9954954954954955,0.7651006711409396,0.9954954954954955,0.7748554091565473,0.9954954954954955,0.7651006711409396,0.9954954954954955,0.7691817452384351
SVC_linear,0.7027027027027027,0.7181208053691275,0.6910344330891308,0.6850472049134639,0.7027027027027027,0.7181208053691275,0.6879489747619514,0.6960956705543259
SVC_rbf,0.7094594594594594,0.697986577181208,0.6981225877112613,0.6696570137671733,0.7094594594594594,0.697986577181208,0.697015159733726,0.6752870519160377
RandomForest_1,0.9954954954954955,0.7583892617449665,0.9954954954954955,0.7624599300773797,0.9954954954954955,0.7583892617449665,0.9954954954954955,0.7595516220600439
RandomForest_3,0.963963963963964,0.7516778523489933,0.9639803920625839,0.7599431515538898,0.963963963963964,0.7516778523489933,0.9638855303472144,0.7547530506471644
RandomForest_5,0.9166666666666666,0.7449664429530202,0.9164704932368956,0.7483000904141843,0.9166666666666666,0.7449664429530202,0.916357414313895,0.7455796079437013
NeuralNetwork_1,0.5833333333333334,0.4966442953020134,0.6035230367630517,0.4479906572963702,0.5833333333333334,0.4966442953020134,0.5335783478945872,0.4560847159623952
NeuralNetwork_2,0.4752252252252252,0.5167785234899329,0.5339629913624876,0.6269729577130089,0.4752252252252252,0.5167785234899329,0.43725030544470644,0.4735223031847978
NeuralNetwork_3,0.5,0.5436241610738255,0.38972440528168084,0.41917768758141183,0.5,0.5436241610738255,0.4269464382966485,0.46467024763009296
NeuralNetwork_4,0.5765765765765766,0.6174496644295302,0.5470842200040106,0.6168961841287147,0.5765765765765766,0.6174496644295302,0.5334469909047583,0.58552594124491
