Model,Accuracy_Train,Accuracy_Test,Precision_Train,Precision_Test,Recall_Train,Recall_Test,F1 Score_Train,F1 Score_Test
Logistic Regression,0.6013513513513513,0.6711409395973155,0.6027259759333403,0.6635801982480991,0.6013513513513513,0.6711409395973155,0.5972887515274218,0.6588335944253394
K-Nearest Neighbors,0.7792792792792793,0.5503355704697986,0.7948644632274985,0.5337732727575595,0.7792792792792793,0.5503355704697986,0.7807286851758691,0.536196217404271
Random Forest,0.9954954954954955,0.6778523489932886,0.9956140350877194,0.6872437706979648,0.9954954954954955,0.6778523489932886,0.9954946727549466,0.6806847649087843
Gradient Boosting,0.9954954954954955,0.6241610738255033,0.9954954954954955,0.6217260897585871,0.9954954954954955,0.6241610738255033,0.9954954954954955,0.6212396614659885
AdaBoost,0.5518018018018018,0.4697986577181208,0.6231613387186142,0.5284372363923646,0.5518018018018018,0.4697986577181208,0.5523644481643825,0.4558835515211354
Naive Bayes,0.6126126126126126,0.6040268456375839,0.6414733454791525,0.5913856929796527,0.6126126126126126,0.6040268456375839,0.6163202338216149,0.5906162143069371
Decision Tree,0.9436936936936937,0.6308724832214765,0.9502910591288924,0.6283396928045463,0.9436936936936937,0.6308724832214765,0.9451000142865343,0.628210159659623
XGBoost,0.9954954954954955,0.6442953020134228,0.9956140350877194,0.6473866238706243,0.9954954954954955,0.6442953020134228,0.9954946727549466,0.641676845418686
SVC_linear,0.6283783783783784,0.6711409395973155,0.642865706396441,0.6758509722939253,0.6283783783783784,0.6711409395973155,0.6255319472012578,0.6601283394077095
SVC_rbf,0.6486486486486487,0.6510067114093959,0.6767229345088694,0.6542931884794301,0.6486486486486487,0.6510067114093959,0.6483328951370204,0.6408412412265531
RandomForest_1,0.9954954954954955,0.6711409395973155,0.9954954954954955,0.667863044558863,0.9954954954954955,0.6711409395973155,0.9954954954954955,0.6671304152127571
RandomForest_3,0.9572072072072072,0.6711409395973155,0.9584966752957041,0.678964037711184,0.9572072072072072,0.6711409395973155,0.9570902262167346,0.673676987573553
RandomForest_5,0.8873873873873874,0.6510067114093959,0.8908067275502684,0.6625953562049274,0.8873873873873874,0.6510067114093959,0.8875325062852706,0.655536769712262
NeuralNetwork_1,0.47297297297297297,0.5033557046979866,0.4735981787824637,0.3719200802283422,0.47297297297297297,0.5033557046979866,0.3909887564955927,0.40697299973472134
NeuralNetwork_2,0.4617117117117117,0.4966442953020134,0.5315400237721024,0.5865627593319208,0.4617117117117117,0.4966442953020134,0.4110937876458961,0.4416741934657985
NeuralNetwork_3,0.4009009009009009,0.42953020134228187,0.28305195806352146,0.31702159683642195,0.4009009009009009,0.42953020134228187,0.3073203380590495,0.3454265503717994
NeuralNetwork_4,0.4864864864864865,0.4966442953020134,0.48802477203133193,0.4842712947979946,0.4864864864864865,0.4966442953020134,0.46810479394751003,0.4644733189390418
