song_number,cluster_name,mean_mfcc_13,mean_mfcc_14,mean_mfcc_15,mean_mfcc_16,mean_mfcc_17,mean_mfcc_18,mean_mfcc_19,std_mfcc_13,std_mfcc_14,std_mfcc_15,std_mfcc_16,std_mfcc_17,std_mfcc_18,std_mfcc_19,max_mfcc_13,max_mfcc_14,max_mfcc_15,max_mfcc_16,max_mfcc_17,max_mfcc_18,max_mfcc_19,min_mfcc_13,min_mfcc_14,min_mfcc_15,min_mfcc_16,min_mfcc_17,min_mfcc_18,min_mfcc_19,delta_mfcc_13,delta_mfcc_14,delta_mfcc_15,delta_mfcc_16,delta_mfcc_17,delta_mfcc_18,delta_mfcc_19,delta2_mfcc_13,delta2_mfcc_14,delta2_mfcc_15,delta2_mfcc_16,delta2_mfcc_17,delta2_mfcc_18,delta2_mfcc_19,delta_max_mfcc_13,delta_max_mfcc_14,delta_max_mfcc_15,delta_max_mfcc_16,delta_max_mfcc_17,delta_max_mfcc_18,delta_max_mfcc_19,delta2_max_mfcc_13,delta2_max_mfcc_14,delta2_max_mfcc_15,delta2_max_mfcc_16,delta2_max_mfcc_17,delta2_max_mfcc_18,delta2_max_mfcc_19,delta_min_mfcc_13,delta_min_mfcc_14,delta_min_mfcc_15,delta_min_mfcc_16,delta_min_mfcc_17,delta_min_mfcc_18,delta_min_mfcc_19,delta2_min_mfcc_13,delta2_min_mfcc_14,delta2_min_mfcc_15,delta2_min_mfcc_16,delta2_min_mfcc_17,delta2_min_mfcc_18,delta2_min_mfcc_19,skew_mfcc_13,skew_mfcc_14,skew_mfcc_15,skew_mfcc_16,skew_mfcc_17,skew_mfcc_18,skew_mfcc_19,kurtosis_mfcc_13,kurtosis_mfcc_14,kurtosis_mfcc_15,kurtosis_mfcc_16,kurtosis_mfcc_17,kurtosis_mfcc_18,kurtosis_mfcc_19,range_mfcc_13,range_mfcc_14,range_mfcc_15,range_mfcc_16,range_mfcc_17,range_mfcc_18,range_mfcc_19,total_energy_mfcc_13,total_energy_mfcc_14,total_energy_mfcc_15,total_energy_mfcc_16,total_energy_mfcc_17,total_energy_mfcc_18,total_energy_mfcc_19,energy_entropy_mfcc_13,energy_entropy_mfcc_14,energy_entropy_mfcc_15,energy_entropy_mfcc_16,energy_entropy_mfcc_17,energy_entropy_mfcc_18,energy_entropy_mfcc_19
song_1,1,-1.0340658276033137,-4.096893941679167,-4.660513342903946,-5.384974578011202,-11.506961123418481,-5.987862909933487,-0.3155566439200944,8.355492003120057,8.203049847706378,8.306100210690724,7.605404941041752,9.95335568667161,11.192627665238824,10.681119464881164,29.808125,38.36456,42.86508,33.523308,22.956585,32.564365,40.087116,-33.458954,-32.38961,-36.81305,-31.798363,-49.364185,-42.653137,-28.382177,2.697718715665418e-05,-9.631225713992061e-05,0.0001296846268809603,-9.909113044663422e-05,1.2879969700108129e-05,6.988746442831313e-05,-0.00014327224622103798,1.8968849514684413e-05,-6.681006647502375e-05,8.699434513001654e-05,-6.48683746049644e-05,1.535506813435492e-05,4.321607807000266e-05,-8.647412687630356e-05,4.341122560000002,4.246511381666668,4.478006516666667,3.5933762116666683,4.780602496666668,3.6167731833333345,4.770549355000003,2.27869442987013,2.879567968181818,3.127879881818181,2.9002073210389607,3.011413860670996,2.8986954621212115,3.0358765190476187,-4.80254128666667,-3.9855796166666684,-4.605280158000002,-4.720051116666668,-4.578158821666667,-4.3003972400000015,-4.283387250000001,-3.086265160822511,-2.6191034740259735,-3.0231956464069256,-2.905036771645021,-2.513793893073593,-2.911885835497835,-2.5591080829004333,-0.08720725892338664,0.3641436055677274,0.5590024697629719,0.46258575852188877,-0.16950803423075542,0.31932991221235185,0.7491941498836184,0.16941963294728568,0.7307325092880692,1.7059514787016985,0.88358045718735,-0.17579897291474822,-0.01390487696650533,0.4898961927454146,63.267078999999995,70.75416999999999,79.67813,65.321671,72.32077,75.217502,68.469293,692461.2900489615,821324.4428085919,886162.4539831169,848341.2839246676,2261322.685713009,1574073.2676474077,1115481.949822577,-3494363.4824638246,-4226328.074713773,-4653455.372769925,-4318272.476441704,-13704215.363042973,-8989523.766309503,-6204751.5548343975
song_2,1,-1.8384884817370157,5.443003337833819,-1.547317649890394,-9.721859328333974,1.5656938023858356,-0.9246804952514992,-6.975264636465961,10.461666484861993,9.9727658040166,7.416006173432748,8.701643345995745,8.22984996165531,6.769147590518793,7.706131413871758,27.628647,35.51292,26.745186,13.456406,31.230139,22.746792,25.489983,-44.477306,-29.709583,-29.99865,-41.112053,-26.096302,-31.262653,-34.989037,0.00010483727516885631,5.3765353306591886e-05,0.00017923418644129452,2.644931032617542e-05,0.00014548771065842336,9.16630826741819e-05,6.614761086432401e-05,-4.3011427845341965e-05,-7.601593558130202e-05,7.0375224154428725e-06,-8.979623347555099e-05,-1.2629766677479568e-05,-4.393907249828678e-05,-6.039341849693823e-05,5.415622153333334,5.317330950000002,3.8286127000000016,4.227482786666667,4.4199498250000016,3.040721252333334,3.747874700000001,3.461790979653679,2.678550567099567,2.4895664787878786,2.8581753778354977,3.4634402623376626,2.6424042809523804,2.3841032101731603,-5.3245880213333345,-3.4836942333333347,-4.165493350000002,-5.479925600666669,-4.047594131666668,-3.8134711333333344,-4.480348218333335,-2.9212241255411246,-3.880503909523809,-2.8898626779220775,-2.499860313419913,-2.9143822287878787,-2.027281992727273,-3.339069336818182,-0.3408536500898718,0.06718673223892659,0.1703380718742239,-0.3745899783721642,0.24843161139198944,-0.4934454889837673,0.005994999112998801,-0.13912456295498288,-0.27803214450021985,0.1826055189235074,-0.1313336859170131,-0.03914725172412892,0.6204998853635799,0.12329257037180685,72.105953,65.222503,56.743836,54.568459000000004,57.326441,54.009445,60.479020000000006,1041275.8196098709,1191300.9446307893,529664.6720060519,1571081.7018575177,647708.0857592747,430776.4321093264,997089.8832380468,-5686283.996504653,-6649279.284841351,-2531448.586844033,-9135377.583909756,-3252414.574137863,-2025162.840618517,-5311627.78890883
song_3,1,0.5127206309540534,1.789387688869336,-2.23484292026802,2.2194518106482364,-2.696843001686393,0.7417359616173119,-1.3352387862067987,8.850070925448454,7.519669008605208,7.7524455478218215,7.35863608810182,7.121454409153826,7.225650157754911,7.3591193054672495,40.622047,58.050194,39.63164,48.271362,31.823374,42.387672,38.40673,-46.729576,-27.670712,-49.731716,-35.05442,-32.681946,-31.682285,-32.45578,5.786546137288952e-06,5.632728361051606e-06,5.395249863780452e-06,5.08437547372432e-06,4.7148644271041065e-06,4.3044532360663415e-06,3.873323174904901e-06,-3.9578173123807364e-07,-4.3773185222416794e-07,-5.219409942804569e-07,-6.429407754607886e-07,-7.928169383004123e-07,-9.621183522330977e-07,-1.140053816500666e-06,6.9161929716666695,8.878159383333335,6.670898452666669,6.1253743020000035,5.504916333333336,7.069871897333335,6.753421058333335,4.465969308008659,4.28932465800866,3.479447175541125,3.613495726406926,3.55891808051948,4.168359397402598,3.9254446532467524,-6.728517936666669,-6.423797266666669,-8.02704947166667,-7.658669843333335,-6.188464478333335,-6.862565716666668,-5.758493958333335,-4.088935339610389,-5.360434262987012,-4.1869553127705625,-4.626442832467532,-3.8299243549783544,-4.118144135930735,-3.911489095887445,-0.19373505618790876,0.34203936876846014,-0.23795868966076777,0.09528817647637346,0.08541267713027406,0.1571148173639884,0.40802386216015474,0.850085813425463,1.5280167063221999,1.3392292151870544,0.6266164907949654,0.6407863242173564,1.1601286378964284,1.1410221991686846,87.351623,85.720906,89.363356,83.325782,64.50532000000001,74.069957,70.86251,1922936.441083661,1461957.4251120256,1592807.9608499098,1445518.1994802335,1418910.2090689265,1290989.1487903728,1368783.6149365234,-10020326.692274071,-7280219.56556772,-8087989.732375337,-7078725.163479751,-6873478.847215345,-6248193.871465581,-6632877.0096283965
song_4,2,-0.867986675371893,6.860059164862563,-4.060022520562513,7.3970140559768875,-0.9899122337489482,7.066877394316061,0.5660191969885924,11.148020498901223,12.262946686537283,13.476060950494018,13.72600638954617,11.340228907154831,12.724370887328792,11.80242655749948,42.043865,54.728077,44.16011,55.940556,37.16471,48.6389,46.277252,-40.489845,-36.446983,-55.642036,-46.016373,-41.48709,-38.68937,-43.084885,1.8599621374799753e-19,-2.0924574046649722e-17,1.1717761466123845e-17,-2.4365504000987678e-17,3.626926168085952e-18,-1.8320627054177758e-17,-7.439848549919901e-19,-1.1293457603511226e-17,9.375371649235e-17,-5.809766107869092e-17,1.0197242418733965e-16,-1.5222627618937673e-17,9.764801221769871e-17,5.626385465876925e-18,5.285423041666669,5.430998443333334,6.465004596000002,5.769729266666667,6.361316256666669,6.031135025000003,6.0625015833333356,3.192507506060606,3.475665637445888,3.727276541991342,4.6684291926406924,3.6828228181385287,4.546623276190477,4.393802584632034,-5.993775083333334,-5.667389995500002,-7.8231756666666685,-6.504523200000002,-6.541806557666668,-6.711166860000002,-5.716456196666669,-3.5943100880952374,-3.516535402813852,-4.304140942857143,-4.0164863660173165,-3.8049173593073586,-4.547832317056277,-4.538012205411255,0.333413667320469,0.05111418158584287,0.04934930138029661,0.04599359252695807,-0.02926379531393906,0.19252574121840926,0.2693288816767459,0.20321676668149102,0.7952489423224436,0.3129030497285732,0.12592696915437873,-0.06339985227164258,0.19196810198371939,0.36698646482626573,82.53371,91.17506,99.802146,101.956929,78.65180000000001,87.32827,89.36213699999999,2388231.6842914955,3771306.6580546,3783678.9187316904,4643817.324556779,2475121.29255439,4046553.9285363443,2666836.7398421015,-13328426.292323994,-23203594.931523953,-22943283.14001107,-29107647.264822505,-13880421.27094067,-25000894.802460063,-15402502.9528794
song_5,1,-4.529843139776146,-5.138658537600684,-8.205476071134504,-6.730092026587908,-5.033222124829981,-3.6967901294379546,-3.186682608037664,7.8344659298587525,8.108038672093874,7.832538885273207,7.6103032918143905,7.271044414661192,7.129469831875708,7.096073278520417,31.327415,28.74796,25.560593,28.955967,29.671665,27.496279,29.530388,-32.46132,-35.839233,-37.01207,-38.69419,-48.395462,-35.725925,-33.584396,-0.00010824434559309376,-4.856953966674655e-05,-0.0002263558568272685,-0.0003114252029095069,-0.0003557490060352037,-0.00012085428320551776,0.0004986742650446599,-5.492358185463628e-05,6.676978800248357e-05,0.00012506437032708734,0.0002217951156797741,0.0002444083615713792,0.00028183701721433034,0.0003109987167491404,4.740942993333335,4.977438166666668,4.232570648333335,4.028728375000001,4.080757624500001,3.7590257883333345,4.0530137616666675,2.8722781432900426,2.5808807997835497,2.577457473160173,2.2826999409090907,2.569132023376623,2.651077027489177,2.670559307142857,-5.462470905000003,-4.372195760000002,-5.925095470000003,-4.200895555000002,-4.911975091666668,-5.362226041666668,-4.822894826666668,-3.270796303246753,-2.8648054632034627,-2.8099727368398266,-2.4297713256969695,-2.570242565584416,-2.7221712188311686,-2.438902307359307,0.11955314495466252,0.20968701259942127,0.30895948343179674,0.20203650149299548,-0.25846789104690376,-0.09772354954011932,0.05468516628600241,0.09805443056163998,0.17027725460254395,0.41930918153791685,0.28491353588387147,1.0699656114201481,0.7599317351926733,0.8045890383739631,63.788735,64.587193,62.572663000000006,67.65015700000001,78.067127,63.222204,63.114784,1730184.2310639168,1946678.5650956868,2718462.053179711,2180432.5201894487,1652083.0264864876,1362533.9895048852,1278317.4018428603,-8808195.994505968,-10074454.67459938,-14687466.440572359,-11428798.070387354,-8536821.176768575,-6762497.778234973,-6233908.072477737
song_6,4,-7.5444171675044975,0.8762294741531332,-3.627154789629989,4.26048966709654,-8.426299960092173,7.056357641134569,0.43751520825209506,11.64458199692264,10.084537598607211,9.652878471425984,11.854115030854967,14.665370833032764,13.778378772206219,11.35633623936099,44.02564,52.704914,42.7615,50.612312,44.39843,63.092674,47.73499,-44.833244,-37.1808,-41.338036,-49.090042,-56.747093,-38.81989,-38.623283,0.00010893545704784433,9.70411673561306e-05,7.717684092800138e-05,5.644967231922542e-05,4.2314844633237736e-05,3.885068278226694e-05,4.4772952547865e-05,6.256111090729104e-06,-1.7834161007324098e-06,-1.638316298657717e-05,-3.173041173723081e-05,-4.162985224227237e-05,-4.26415886462023e-05,-3.581126833661087e-05,5.682126706666668,6.086013543333336,6.597795083333335,5.850016883333335,6.231765876666669,8.029272588333336,6.869462191666669,4.558964302987013,4.354353672294373,3.7618085887445885,3.462462105194805,3.764249142857142,3.7642351809523804,3.8208351744588738,-6.486380244333335,-6.380237828466668,-6.563233600000002,-5.7583536250000025,-8.588893960000004,-6.648823700000002,-5.757833475000002,-4.202581513203462,-3.828157318181818,-3.806134524242424,-3.7150477104329003,-3.916998414502165,-3.7595173714285712,-3.5116043549783544,0.6192584826356065,0.8557952062428904,0.2632309013883701,0.10348096551194075,0.4401358780128199,0.46860314948601745,0.5326339889835368,0.8656707272198454,1.555783160712771,0.3123792233058369,-0.11272669417350345,-0.033314589374499715,0.12835226910829434,0.34119255442062535,88.858884,89.88571400000001,84.099536,99.702354,101.145523,101.912564,86.358273,6096357.313719081,3244780.5830803025,3367288.742086646,5024660.377264068,9059157.060324987,7588550.195717692,4090039.809995157,-35720445.15397127,-18296988.16874972,-18076826.33481873,-29162664.517349917,-56378638.19441169,-48211690.3188629,-23160573.806378342
song_7,3,-4.5249527561922465,-0.8627244293543744,-9.331088501207988,1.4200381758272607,-4.621646683669524,-9.151313730343462,-3.2942135126790006,9.46621775892808,9.457657689556752,9.172619523350823,8.911913319243816,9.43541541681985,10.313525024137709,9.30242651140338,36.31202,32.832977,33.807564,42.658882,36.023705,34.14117,38.100883,-49.120316,-41.04393,-45.014664,-39.55461,-41.482925,-44.60382,-36.472717,1.505974898705104e-17,1.3870821435441747e-18,2.952503419829743e-17,-2.0806232153162617e-18,1.228558469996269e-17,2.576009695153467e-17,9.016033933037135e-18,-6.483370554869423e-17,-1.2465162298903676e-17,-1.3138887911482276e-16,1.991453648945565e-17,-6.34218540811582e-17,-1.2549378000476002e-16,-4.6194789244819387e-17,5.123068433333335,5.251108723000002,6.834858011666669,7.1677023233333355,5.1242190500000016,6.3982501250000015,6.759835946666669,2.7834193997835497,2.8503311469696966,3.277540715584415,3.13893596965368,3.215795344155844,3.139964259523809,3.429492181601731,-5.090265796666668,-5.111124178333335,-6.501364559000002,-7.381758571666668,-5.2274503966666686,-5.5113336166666675,-8.309475150000003,-2.8506911748917747,-2.592296183246753,-3.972148593939394,-5.076054712077921,-2.9884605896536796,-4.220315880303031,-4.046981939177489,0.06239793732039771,0.020003844738794928,0.014327745292033433,-0.08789420332521561,-0.18587096899206637,0.261049190158599,0.3870551032572843,0.5831788250517294,0.3536069004345248,0.4661244190848306,0.7723453281676749,0.2748242812528816,0.026938689906330637,0.3659886741451954,85.43233599999999,73.876907,78.822228,82.213492,77.50663,78.74499,74.5736,1973704.5720904325,1617044.8810976725,3069555.2702064635,1460114.5855218535,1979122.8243863166,3408577.9562239284,1746051.1943107846,-10776026.582109135,-8581502.960631764,-17743850.21000078,-7679485.115250668,-10921792.180641629,-19867943.04118894,-9227999.663996652
song_8,1,1.0088939804166757,-3.5162528811942666,-0.5275703622093899,0.1780932897319812,0.21199635721925225,2.156522629831625,-0.4809166771331085,9.043772173420678,7.901038773413873,8.314638209602945,8.105884440112485,7.9356236967272675,7.666176171484864,8.044594650299814,37.742706,31.826387,30.863888,38.899998,32.486828,38.811234,38.164017,-40.569244,-37.214115,-39.184162,-37.095528,-32.10632,-27.88496,-32.328743,-0.00016260825264254966,-0.00015917233884173726,-0.0001554730896977784,-0.00015151269606967306,-0.00014729656945064746,-0.00014283360756290738,-0.00013813705821050972,-0.00010069672639106032,-9.750781803879217e-05,-9.431575588399284e-05,-9.115160168326298e-05,-8.804570307167446e-05,-8.502683882141346e-05,-8.212293535109229e-05,6.718934991666669,4.690262581666668,6.782829656666668,5.627413006666668,5.649194031666668,5.726283626666669,4.925687111666667,3.614092765151515,3.438093365692641,3.6974247476190474,3.3741511735930736,3.308655797489177,3.8195336495670995,3.2057111863636365,-5.828293300000001,-5.470119943333335,-5.759986735000001,-5.789888065000001,-5.3118246719666695,-5.660870141666668,-5.093973050000002,-3.400614704112553,-3.3774403311688306,-3.501976198484848,-4.0042832876623375,-3.5115716374458867,-4.447294418008657,-3.366713881601731,-0.09210729582858253,0.05303860837537484,-0.07459107780472968,-0.08025567842636361,0.047104647855137995,0.10546691676945473,0.21492108315805017,0.29878153904516,0.31503619263123905,0.14412575564550778,0.298387561152734,0.015638333575882513,0.19831346365988534,0.25003525243496494,78.31195,69.040502,70.04805,75.995526,64.593148,66.69619399999999,70.49276,1854064.0041996194,1674558.131246116,1554124.3591878004,1471853.216191469,1410996.8857592582,1419992.7631034278,1454158.4923713095,-9618809.466245107,-8488096.571504917,-7768288.258833465,-7311540.903009471,-6877498.78402081,-6990277.648281351,-7171069.492071337
song_9,3,-7.103293160964952,-7.137121195847241,-4.331330980328182,-5.829325550434431,-6.556752914262415,-5.550672299400966,-6.562037547952805,8.30633012507829,8.664453884113254,8.312613767610683,8.060469104231192,6.90385815733052,6.472850692891694,6.862521230149966,32.127556,33.951797,32.954346,35.026623,25.775902,26.00135,28.932138,-39.443947,-44.951878,-32.779335,-35.594994,-31.798729,-28.778074,-38.18605,0.00021970849344953247,0.0001343895386231813,-3.513233952538669e-05,-4.770574549497756e-05,-0.00015341311324309112,-5.305527851932544e-05,-0.00014785211698181247,0.00024090605427377128,0.0002304990132854663,0.00021337400720210394,6.897063536035642e-05,-0.00013784159437623837,-0.00019552392853539144,4.6229569178105344e-05,4.226700400000001,4.695256680000002,4.526752783333335,4.3558057633333345,4.521031583333334,3.4787369150000016,3.519538371400001,2.684431618398268,2.723048055194805,2.555368052727273,2.4450986380952378,2.565055385281385,2.107127115151515,2.511861036147186,-4.493570540000002,-4.5378406683333345,-4.196522946666667,-4.811182518333334,-4.193169633333335,-3.7352486193333347,-4.191737996666668,-2.334417163203463,-2.309341659090909,-2.8135399258008653,-2.412608232683983,-2.5739548841558437,-2.3535434932900428,-2.1544825866233768,0.1337584498687072,0.0581628837748232,0.35242165769503847,0.4232930133498547,0.15335029945235645,0.11310028957827974,0.35134552271768277,0.6921767098978906,0.7361580302862558,0.2262723328968601,0.8354443193625762,0.3758135662030915,0.009879586786872174,0.6548053550446205,71.571503,78.90367499999999,65.733681,70.621617,57.574631,54.779424,67.118188,3221617.577873338,3398523.6841994706,2369583.544915451,2668740.794980177,2444945.5603640624,1960928.2620587163,2431467.793172611,-17496713.105281223,-18757642.09086517,-12123315.523200491,-13973765.437684108,-12528688.775878374,-9631330.855546838,-12348952.256829584
song_10,5,-0.4266297013316253,-14.560533433637419,-3.763283851980326,7.473021515209894,-8.25330305803778,-2.3295342851814462,5.014559273510694,12.736053815490642,10.195392298574625,11.729862467481942,12.731936512936539,11.459889883879164,12.111743407497912,11.522798266163012,40.476288,37.091362,52.81346,61.424522,45.29442,58.20721,54.182938,-45.717514,-50.965057,-44.600384,-49.116436,-52.293137,-38.010643,-44.849483,5.806934662590622e-05,6.360972099043689e-05,7.08305227440828e-05,7.613481904967654e-05,7.632424211630958e-05,6.965134734261512e-05,5.644154888125926e-05,2.3717090121120846e-05,2.9444059457215188e-05,3.713103316978372e-05,4.397353564086962e-05,4.7349806124743316e-05,4.563181321519487e-05,3.8685460729400635e-05,6.859395906666669,6.377064060000002,6.659804933333335,5.851114986666668,7.623995238333336,6.766491083333336,8.471096636666669,3.800158113852814,3.9695492385281383,4.25070953073593,4.3040092168831166,4.374361304761904,3.948659187012987,4.26740326017316,-5.8565618466666685,-7.004774675000004,-6.641468753333336,-6.958879590000001,-6.441460995000002,-7.2505769066666685,-7.2058740166666695,-4.2568487813852816,-4.066571876623376,-4.1548912077922076,-3.92108695021645,-3.7636685292207783,-4.076081186060605,-4.888659787445887,-0.09520601390234211,0.3339407215498777,0.1598170116661826,-0.09033779147084656,0.5095840293259744,0.7049116881794443,0.16129202014816735,-0.09075376698825943,0.6664355614289676,0.2760784527768223,0.4708759621303291,0.702787176724355,0.7021644738390957,0.7124376572792093,86.193802,88.056419,97.413844,110.540958,97.587557,96.217853,99.032421,4833673.346145866,9404721.232846685,4517049.4026460815,6487447.84572999,5936712.241074249,4528035.422992165,4700667.09751313,-28104054.492546123,-58275187.3552977,-26036657.93326213,-39553725.71894683,-34983577.14489627,-25930960.590377912,-27843503.03817333
