File,Cluster
01-MFCC.csv,Other Artist 1
02-MFCC.csv,Other Artist 2
03-MFCC.csv,Asha Bhosale
04-MFCC.csv,Jana Gana Mana
05-MFCC.csv,Kishore Kumar
06-MFCC.csv,Jana Gana Mana
07-MFCC.csv,Michael Jackson
08-MFCC.csv,Asha Bhosale
09-MFCC.csv,Kishore Kumar
10-MFCC.csv,Jana Gana Mana
100-MFCC.csv,Kishore Kumar
101-MFCC.csv,Michael Jackson
102-MFCC.csv,Jana Gana Mana
103-MFCC.csv,Asha Bhosale
104-MFCC.csv,Michael Jackson
105-MFCC.csv,Jana Gana Mana
106-MFCC.csv,Michael Jackson
107-MFCC.csv,Other Artist 1
108-MFCC.csv,Other Artist 1
109-MFCC.csv,Michael Jackson
11-MFCC.csv,Michael Jackson
110-MFCC.csv,Michael Jackson
111-MFCC.csv,Kishore Kumar
112-MFCC.csv,Jana Gana Mana
113-MFCC.csv,Jana Gana Mana
114-MFCC.csv,Other Artist 2
115-MFCC.csv,Michael Jackson
116-MFCC.csv,Kishore Kumar
12-MFCC.csv,Asha Bhosale
13-MFCC.csv,Jana Gana Mana
14-MFCC.csv,Michael Jackson
15-MFCC.csv,Michael Jackson
16-MFCC.csv,Other Artist 2
17-MFCC.csv,Other Artist 2
18-MFCC.csv,Kishore Kumar
19-MFCC.csv,Michael Jackson
20-MFCC.csv,Asha Bhosale
21-MFCC.csv,Michael Jackson
22-MFCC.csv,Michael Jackson
23-MFCC.csv,Michael Jackson
24-MFCC.csv,Other Artist 2
25-MFCC.csv,Michael Jackson
26-MFCC.csv,Kishore Kumar
27-MFCC.csv,Other Artist 1
28-MFCC.csv,Kishore Kumar
29-MFCC.csv,Kishore Kumar
30-MFCC.csv,Michael Jackson
31-MFCC.csv,Other Artist 2
32-MFCC.csv,Jana Gana Mana
33-MFCC.csv,Jana Gana Mana
34-MFCC.csv,Other Artist 2
35-MFCC.csv,Other Artist 1
36-MFCC.csv,Michael Jackson
37-MFCC.csv,Other Artist 2
38-MFCC.csv,Jana Gana Mana
39-MFCC.csv,Jana Gana Mana
40-MFCC.csv,Michael Jackson
41-MFCC.csv,Jana Gana Mana
42-MFCC.csv,Jana Gana Mana
43-MFCC.csv,Jana Gana Mana
44-MFCC.csv,Asha Bhosale
45-MFCC.csv,Other Artist 2
46-MFCC.csv,Kishore Kumar
47-MFCC.csv,Michael Jackson
48-MFCC.csv,Jana Gana Mana
49-MFCC.csv,Michael Jackson
50-MFCC.csv,Kishore Kumar
51-MFCC.csv,Kishore Kumar
52-MFCC.csv,Michael Jackson
53-MFCC.csv,Asha Bhosale
54-MFCC.csv,Michael Jackson
55-MFCC.csv,Michael Jackson
56-MFCC.csv,Jana Gana Mana
57-MFCC.csv,Other Artist 2
58-MFCC.csv,Michael Jackson
59-MFCC.csv,Kishore Kumar
60-MFCC.csv,Michael Jackson
61-MFCC.csv,Other Artist 1
62-MFCC.csv,Jana Gana Mana
63-MFCC.csv,Kishore Kumar
64-MFCC.csv,Michael Jackson
65-MFCC.csv,Michael Jackson
66-MFCC.csv,Kishore Kumar
67-MFCC.csv,Kishore Kumar
68-MFCC.csv,Michael Jackson
69-MFCC.csv,Asha Bhosale
70-MFCC.csv,Michael Jackson
71-MFCC.csv,Michael Jackson
72-MFCC.csv,Jana Gana Mana
73-MFCC.csv,Michael Jackson
74-MFCC.csv,Asha Bhosale
75-MFCC.csv,Other Artist 1
76-MFCC.csv,Michael Jackson
77-MFCC.csv,Jana Gana Mana
78-MFCC.csv,Asha Bhosale
79-MFCC.csv,Jana Gana Mana
80-MFCC.csv,Kishore Kumar
81-MFCC.csv,Other Artist 2
82-MFCC.csv,Kishore Kumar
83-MFCC.csv,Kishore Kumar
84-MFCC.csv,Kishore Kumar
85-MFCC.csv,Jana Gana Mana
86-MFCC.csv,Asha Bhosale
87-MFCC.csv,Other Artist 1
88-MFCC.csv,Other Artist 2
89-MFCC.csv,Michael Jackson
90-MFCC.csv,Other Artist 1
91-MFCC.csv,Jana Gana Mana
92-MFCC.csv,Michael Jackson
93-MFCC.csv,Kishore Kumar
94-MFCC.csv,Michael Jackson
95-MFCC.csv,Other Artist 1
96-MFCC.csv,Kishore Kumar
97-MFCC.csv,Kishore Kumar
98-MFCC.csv,Asha Bhosale
99-MFCC.csv,Jana Gana Mana
