File,Cluster
01-MFCC.csv,5
02-MFCC.csv,0
03-MFCC.csv,1
04-MFCC.csv,10
05-MFCC.csv,2
06-MFCC.csv,10
07-MFCC.csv,4
08-MFCC.csv,1
09-MFCC.csv,9
10-MFCC.csv,7
100-MFCC.csv,9
101-MFCC.csv,4
102-MFCC.csv,3
103-MFCC.csv,1
104-MFCC.csv,4
105-MFCC.csv,3
106-MFCC.csv,4
107-MFCC.csv,5
108-MFCC.csv,5
109-MFCC.csv,8
11-MFCC.csv,8
110-MFCC.csv,4
111-MFCC.csv,9
112-MFCC.csv,10
113-MFCC.csv,10
114-MFCC.csv,6
115-MFCC.csv,10
116-MFCC.csv,9
12-MFCC.csv,1
13-MFCC.csv,10
14-MFCC.csv,4
15-MFCC.csv,10
16-MFCC.csv,0
17-MFCC.csv,0
18-MFCC.csv,2
19-MFCC.csv,8
20-MFCC.csv,1
21-MFCC.csv,8
22-MFCC.csv,4
23-MFCC.csv,4
24-MFCC.csv,7
25-MFCC.csv,8
26-MFCC.csv,2
27-MFCC.csv,5
28-MFCC.csv,9
29-MFCC.csv,9
30-MFCC.csv,4
31-MFCC.csv,5
32-MFCC.csv,10
33-MFCC.csv,10
34-MFCC.csv,7
35-MFCC.csv,5
36-MFCC.csv,4
37-MFCC.csv,7
38-MFCC.csv,3
39-MFCC.csv,10
40-MFCC.csv,8
41-MFCC.csv,10
42-MFCC.csv,10
43-MFCC.csv,10
44-MFCC.csv,1
45-MFCC.csv,6
46-MFCC.csv,2
47-MFCC.csv,7
48-MFCC.csv,7
49-MFCC.csv,8
50-MFCC.csv,9
51-MFCC.csv,2
52-MFCC.csv,8
53-MFCC.csv,1
54-MFCC.csv,4
55-MFCC.csv,4
56-MFCC.csv,10
57-MFCC.csv,7
58-MFCC.csv,4
59-MFCC.csv,2
60-MFCC.csv,4
61-MFCC.csv,6
62-MFCC.csv,10
63-MFCC.csv,2
64-MFCC.csv,4
65-MFCC.csv,8
66-MFCC.csv,9
67-MFCC.csv,9
68-MFCC.csv,4
69-MFCC.csv,6
70-MFCC.csv,8
71-MFCC.csv,4
72-MFCC.csv,10
73-MFCC.csv,8
74-MFCC.csv,1
75-MFCC.csv,5
76-MFCC.csv,8
77-MFCC.csv,10
78-MFCC.csv,1
79-MFCC.csv,10
80-MFCC.csv,2
81-MFCC.csv,6
82-MFCC.csv,9
83-MFCC.csv,9
84-MFCC.csv,2
85-MFCC.csv,10
86-MFCC.csv,1
87-MFCC.csv,5
88-MFCC.csv,4
89-MFCC.csv,8
90-MFCC.csv,0
91-MFCC.csv,10
92-MFCC.csv,4
93-MFCC.csv,9
94-MFCC.csv,4
95-MFCC.csv,5
96-MFCC.csv,2
97-MFCC.csv,2
98-MFCC.csv,6
99-MFCC.csv,10
