Model,Accuracy_Train,Accuracy_Test,Precision_Train,Precision_Test,Recall_Train,Recall_Test,F1 Score_Train,F1 Score_Test
Logistic Regression,0.6013513513513513,0.6711409395973155,0.6027259759333403,0.6635801982480991,0.6013513513513513,0.6711409395973155,0.5972887515274218,0.6588335944253394
K-Nearest Neighbors,0.7792792792792793,0.5503355704697986,0.7948644632274985,0.5337732727575595,0.7792792792792793,0.5503355704697986,0.7807286851758691,0.536196217404271
Random Forest,0.9954954954954955,0.6778523489932886,0.9956140350877194,0.6872437706979648,0.9954954954954955,0.6778523489932886,0.9954946727549466,0.6806847649087843
Gradient Boosting,0.9954954954954955,0.6442953020134228,0.9956140350877194,0.6380174047076201,0.9954954954954955,0.6442953020134228,0.9954946727549467,0.6401673842913312
AdaBoost,0.5518018018018018,0.4697986577181208,0.6231613387186142,0.5284372363923646,0.5518018018018018,0.4697986577181208,0.5523644481643825,0.4558835515211354
Naive Bayes,0.6126126126126126,0.6040268456375839,0.6414733454791525,0.5913856929796527,0.6126126126126126,0.6040268456375839,0.6163202338216149,0.5906162143069371
Decision Tree,0.9436936936936937,0.6442953020134228,0.9502910591288924,0.6443595102080589,0.9436936936936937,0.6442953020134228,0.9451000142865343,0.6426962399374051
XGBoost,0.9954954954954955,0.6442953020134228,0.9956140350877194,0.6473866238706243,0.9954954954954955,0.6442953020134228,0.9954946727549466,0.641676845418686
SVC_linear,0.6283783783783784,0.6711409395973155,0.642865706396441,0.6758509722939253,0.6283783783783784,0.6711409395973155,0.6255319472012578,0.6601283394077095
SVC_rbf,0.6486486486486487,0.6510067114093959,0.6767229345088694,0.6542931884794301,0.6486486486486487,0.6510067114093959,0.6483328951370204,0.6408412412265531
RandomForest_1,0.9954954954954955,0.697986577181208,0.9956140350877194,0.6997454973880572,0.9954954954954955,0.697986577181208,0.9954946727549466,0.6978149390644496
RandomForest_3,0.954954954954955,0.6644295302013423,0.9573834876479111,0.6688485797003364,0.954954954954955,0.6644295302013423,0.9551443373405881,0.6628313830948371
RandomForest_5,0.8986486486486487,0.6510067114093959,0.9028577384674946,0.6600168013726433,0.8986486486486487,0.6510067114093959,0.8986340015893767,0.6545151617694057
NeuralNetwork_1,0.36486486486486486,0.42953020134228187,0.41855335999884064,0.32570162963025945,0.36486486486486486,0.42953020134228187,0.2943421211064882,0.3485055908175211
NeuralNetwork_2,0.4594594594594595,0.5167785234899329,0.4607668047883728,0.5442098978172804,0.4594594594594595,0.5167785234899329,0.4296117445197111,0.486415236386844
NeuralNetwork_3,0.4369369369369369,0.40939597315436244,0.5183709737737872,0.36648364159430846,0.4369369369369369,0.40939597315436244,0.3779847205818641,0.3538582119384493
NeuralNetwork_4,0.5225225225225225,0.6040268456375839,0.5248113596827387,0.584999230469029,0.5225225225225225,0.6040268456375839,0.5126673727238252,0.5795443638163219
